engine,key,title,authors,year,venue,doi,open_source,status,local_note,implementation_topics
native_tri,alliez2003_isotropic,"Isotropic Surface Remeshing","Alliez; Colin de Verdiere; Devillers; Isenburg",2003,"Shape Modeling International","10.1109/SMI.2003.1199601","https://citeseerx.ist.psu.edu/document?doi=b06969098ee7e06a1c600daed738fbe9e6dd05e1&repid=rep1&type=pdf",QUEUED,,"density sampling; weighted CVT; constrained Delaunay"
native_tri,yan2014_localized_rvd,"Low-Resolution Remeshing Using the Localized Restricted Voronoi Diagram","Yan; Bao; Zhang; Wonka",2014,"IEEE TVCG","10.1109/TVCG.2014.2330574","https://archive.ymsc.tsinghua.edu.cn/pacm_download/38/280-2014_TVCG_LRVD.pdf",QUEUED,,"localized RVD; coarse meshes; nearby sheets"
native_tri,valette2008_discrete_voronoi,"Generic Remeshing of 3D Triangular Meshes with Metric-Dependent Discrete Voronoi Diagrams","Valette; Chassery; Prost",2008,"IEEE TVCG","10.1109/TVCG.2007.70430","https://www.creatis.insa-lyon.fr/~valette/public/publication/valette-tvcg-2008/",QUEUED,,"fixed budget; discrete Voronoi; metric-driven clustering"
native_tri,yan2016_non_obtuse,"Non-Obtuse Remeshing with Centroidal Voronoi Tessellation","Yan; Wonka",2016,"IEEE TVCG","10.1109/TVCG.2015.2505279","https://repository.kaust.edu.sa/items/b00dc74a-ca63-4bd2-b5f8-8e50a04c861b",QUEUED,,"non-obtuse objective; CVT; sharp features"
native_tri,yan2013_gap_processing,"Gap Processing for Adaptive Maximal Poisson-Disk Sampling","Yan; Wonka",2013,"ACM Transactions on Graphics","10.1145/2516971.2516973","https://arxiv.org/abs/1211.3297",QUEUED,,"maximal sampling; coverage; power diagrams"
native_tri,yan2014_blue_noise,"Blue-Noise Remeshing with Farthest Point Optimization","Yan; Guo; Jia; Zhang; Wonka",2014,"Computer Graphics Forum","10.1111/cgf.12442","https://archive.ymsc.tsinghua.edu.cn/pacm_download/38/279-2014_CGF_FPO.pdf",QUEUED,,"blue noise; farthest-point optimization; nonuniform sampling"
native_tri,guo2015_maximal_poisson,"Efficient Maximal Poisson-Disk Sampling and Remeshing on Surfaces","Guo; Yan; Jia; Zhang",2015,"Computers & Graphics","10.1016/j.cag.2014.09.015","https://jianweiguo.net/publications/papers/2014_C%26G_MPSMesh.pdf",QUEUED,,"Poisson disk; void tracking; thin sheets"
native_tri,ahmed2017_push_pull,"A Simple Push-Pull Algorithm for Blue-Noise Sampling","Ahmed; Guo; Yan; Franceschi; Zhang; Deussen",2017,"IEEE TVCG","10.1109/TVCG.2016.2641963","https://graphics.uni-konstanz.de/publikationen/Ahmed2016SimplePushPull/index.html",QUEUED,,"separation; coverage; Voronoi capacity"
native_tri,zhong2013_particle_anisotropic,"Particle-Based Anisotropic Surface Meshing","Zhong; Guo; Wang; Levy; Sun; Liu; Mao",2013,"ACM Transactions on Graphics","10.1145/2461912.2461946","https://citeseerx.ist.psu.edu/document?doi=3fe25837e7bbc626f5b29d6adc0f217f58db4018&repid=rep1&type=pdf",QUEUED,,"Riemannian metric; particle energy; anisotropic Voronoi"
native_tri,narain2012_cloth,"Adaptive Anisotropic Remeshing for Cloth Simulation","Narain; Samii; O'Brien",2012,"ACM Transactions on Graphics","10.1145/2366145.2366171","https://escholarship.org/uc/item/5s1775xd",QUEUED,,"dynamic operators; anisotropic metric; cloth context"
native_tri,zhong2014_conformal_anisotropic,"Anisotropic Surface Meshing with Conformal Embedding","Zhong; Shuai; Jin; Guo",2014,"Graphical Models","10.1016/j.gmod.2014.03.011","user-supplied PDF",FULL_READ,"native_tri/zhong2014_conformal_anisotropic.md","metric tensor; conformal embedding; anisotropic weighted CVT"
native_tri,bischoff2005_cad_repair,"Structure Preserving CAD Model Repair","Bischoff; Kobbelt",2005,"Computer Graphics Forum","10.1111/j.1467-8659.2005.00878.x","https://www.graphics.rwth-aachen.de/publication/0389/",QUEUED,,"CAD repair; cracks; intersections; tolerance"
native_tri,attene2010_lightweight_repair,"A Lightweight Approach to Repairing Digitized Polygon Meshes","Attene",2010,"The Visual Computer","10.1007/s00371-010-0416-3","https://citeseerx.ist.psu.edu/document?doi=461dae710ffa6205f684354a7927e2f74d7cc1bc&repid=rep1&type=pdf",QUEUED,,"manifold repair; watertightness; local defects"
native_tri,nunes2011_parallel,"A Parallel Remeshing Method","Nunes; Mayrink; Mesquita; Lowther",2011,"IEEE Transactions on Magnetics","10.1109/TMAG.2010.2090944","user-supplied PDF",FULL_READ,"native_tri/nunes2011_parallel.md","parallel B-spline approximation; section scheduling; topology locks"
native_tri,mahmoud2025_gpu,"Dynamic Mesh Processing on the GPU","Mahmoud; Porumbescu; Owens",2025,"ACM Transactions on Graphics","10.1145/3731162","https://escholarship.org/uc/item/82k732k4",QUEUED,,"GPU topology; conflict handling; rollback; cavity operator"
native_quad_dom,alliez2003_anisotropic,"Anisotropic Polygonal Remeshing","Alliez; Cohen-Steiner; Devillers; Levy; Desbrun",2003,"ACM Transactions on Graphics",10.1145/882262.882296,https://www.geometry.caltech.edu/pubs/ACDLD03.pdf,FULL_READ,"native_quad/alliez2003_anisotropic.md","curvature tensor; anisotropic metric; feature-side smoothing; umbilics; conforming hybrid extraction"
native_quad_dom,jakob2015_instant,"Instant Field-Aligned Meshes","Jakob; Tarini; Panozzo; Sorkine-Hornung",2015,"ACM Transactions on Graphics",10.1145/2816795.2818078,https://rgl.epfl.ch/publications/Jakob2015Instant/,FULL_READ,"native_quad/jakob2015_instant.md","4-RoSy orientation field; 4-PoSy position field; multiresolution; singularities; extraction"
native_quad_dom,huang2018_quadriflow,"QuadriFlow: A Scalable and Robust Method for Quadrangulation","Huang; Zhou; Niessner; Shewchuk; Guibas",2018,"Computer Graphics Forum",10.1111/cgf.13498,https://stanford.edu/~jingweih/papers/quadriflow/quadriflow.pdf,FULL_READ,"native_quad/huang2018_quadriflow.md","integer offsets; min-cost flow; singularity removal; inversion cleanup; quad extraction"
native_tet,shewchuk1998_delaunay_refinement,"Tetrahedral Mesh Generation by Delaunay Refinement","Shewchuk",1998,"ACM Symposium on Computational Geometry",10.1145/276884.276894,https://www.cs.jhu.edu/~misha/Spring16/Shewchuk98.pdf,FULL_READ,"native_tet/shewchuk1998_delaunay_refinement.md","Delaunay refinement; encroachment; termination; PLC; radius-edge"
native_tet,si2015_tetgen,"TetGen, a Delaunay-Based Quality Tetrahedral Mesh Generator","Si",2015,"ACM Transactions on Mathematical Software",10.1145/2629697,https://albertsk.org/wp-content/uploads/2011/12/si-atms-2015-10-1145_2629697.pdf,FULL_READ,"native_tet/si2015_tetgen.md","protected CDT; segment and face recovery; flips; refinement; sliver treatment"
native_tet,hu2020_ftetwild,"fTetWild: Fast Tetrahedral Meshing in the Wild","Hu; Schneider; Wang; Zorin; Panozzo",2020,"ACM Transactions on Graphics",10.1145/3386569.3392385,https://cims.nyu.edu/gcl/papers/2020-fTetWild.pdf,FULL_READ,"native_tet/hu2020_ftetwild.md","incremental triangle insertion; subdivision table; epsilon envelope; retry; AMIPS"
native_hex_dom,marechal2009_octree_all_hex,"Advances in Octree-Based All-Hexahedral Mesh Generation: Handling Sharp Features","Marechal",2009,"International Meshing Roundtable",10.1007/978-3-642-04319-2_5,https://team.inria.fr/gamma/files/2021/03/imr18.pdf,FULL_READ,"native_hex/marechal2009_octree_all_hex.md","octree pairing; directional cuts; dual construction; sharp features; all-hex transitions"
native_hex_dom,nieser2011_cubecover,"CubeCover - Parameterization of 3D Volumes","Nieser; Reitebuch; Polthier",2011,"Computer Graphics Forum",10.1111/j.1467-8659.2011.02014.x,https://diglib.eg.org/server/api/core/bitstreams/584f2ef3-7a95-4183-a71e-537ac26e0e02/content,FULL_READ,"native_hex/nieser2011_cubecover.md","frame field; singularities; global parameterization; integer rounding; hex extraction"
native_hex_dom,gao2017_field_guided,"Robust Hex-Dominant Mesh Generation Using Field-Guided Polyhedral Agglomeration","Gao; Jakob; Tarini; Panozzo",2017,"ACM Transactions on Graphics",10.1145/3072959.3073676,https://rgl.epfl.ch/publications/Gao2017Robust/,FULL_READ,"native_hex/gao2017_field_guided_agglomeration.md","orientation and position fields; polyhedral agglomeration; topology invariant; geometric validity"
boundary_layers,aubry2017_arbitrary,"Boundary Layer Mesh Generation on Arbitrary Geometries","Aubry; Dey; Mestreau; Karamete",2017,"International Journal for Numerical Methods in Engineering",10.1002/nme.5514,https://onlinelibrary.wiley.com/doi/10.1002/nme.5514,FULL_READ_EXISTING,"../boundary_layers/native_bl_literature_integrated_development_plan_2026-07-23.md","multiple normals; generalized Voronoi; nonsmooth geometry"
native_poly,abdelkader2020_vorocrust,"VoroCrust: Voronoi Meshing Without Clipping","Abdelkader; Bajaj; Ebeida; Mahmoud; Mitchell; Owens; Rushdi",2020,"ACM Transactions on Graphics",10.1145/3337680,https://arxiv.org/pdf/1902.08767,FULL_READ,"native_poly/vorocrust2020_without_clipping.md","stratum-aware ball protection; paired surface seeds; sliver elimination; variable-radius sampling"
native_poly,garimella2013_general_dual,"Polyhedral Mesh Generation and Optimization for Non-manifold Domains","Garimella; Kim; Berndt",2013,"International Meshing Roundtable",10.1007/978-3-319-02335-9_18,https://web.archive.org/web/20161216071606id_/http://www.imr.sandia.gov/papers/imr22/IMR22_18_Garimella.pdf,FULL_READ,"native_poly/garimella2013_general_dual.md","entity-classified primal-to-dual; star-shaped validity; untangling; non-manifold domains"
native_poly,sorgente2022_quality,"Polyhedral Mesh Quality Indicator for the Virtual Element Method","Sorgente; Biasotti; Manzini; Spagnuolo",2022,"Computers & Mathematics with Applications",10.1016/j.camwa.2022.03.042,https://arxiv.org/pdf/2112.11365,FULL_READ,"native_poly/sorgente2022_quality_indicator.md","star kernel; degeneration; combinatorial quality; VEM correlation"
native_poly,sorgente2023_agglomeration,"Mesh Quality Agglomeration Algorithm for the Virtual Element Method Applied to Discrete Fracture Networks","Sorgente; Vicini; Berrone; Biasotti; Manzini; Spagnuolo",2023,Calcolo,10.1007/s10092-023-00517-5,https://link.springer.com/content/pdf/10.1007/s10092-023-00517-5.pdf,FULL_READ,"native_poly/sorgente2023_quality_agglomeration.md","constrained adjacency graph; union quality; alpha-beta labeling; cell-count tradeoff"
native_tet,si2010_boundary_conforming,"Boundary-conforming Delaunay Mesh Generation","Si; Fuhrmann",2010,"Applied Numerical Mathematics",10.1134/S0965542510010069,user-supplied PDF,FULL_READ,"native_tet/si2010_boundary_conforming_delaunay.md","boundary recovery; constrained refinement; quality-aware radius-angle policy"
native_tet,cheng2000_sliver_exudation,"A Practical Scheme for Sliver Exudation","Cheng; et al.",2000,"Algorithmica",10.1145/355483.355487,user-supplied PDF,FULL_READ,"native_tet/cheng2000_sliver_exudation.md","weighted-Delaunay; radius-edge limits; weight pumping; sliver robustness"
native_hex_dom,hybrid_octree_hex,"HybridOctree_Hex: Hybrid octree-based adaptive all-hexahedral mesh generation with Jacobian control","Tong; Halilaj; Zhang",2024,"Journal of Computational Science",10.1016/j.jocs.2024.102278,https://arxiv.org/abs/2401.05984,FULL_READ,"native_hex/batch2_core_papers.md","thin-region detection; 2:1 pairing; all-hex templates; Jacobian control"
native_hex_dom,ito2009_octree,"Octree-based reasonable-quality hexahedral mesh generation using a new set of refinement templates","Ito; Shih; Soni",2009,"International Journal for Numerical Methods in Engineering",10.1002/nme.2470,user-pdf,FULL_READ,"native_hex/zhang2013_2refinement_all_hex.md","octree refinement templates; interface transitions; boundary projection"
native_hex_dom,ray2016_field,"Practical 3D Frame Field Generation","Ray; Sokolov; Levy",2016,"ACM Transactions on Graphics",10.1145/2980179.2982408,"https://brunolevy.github.io/papers/framefields_SIGASIA_2016.pdf",FULL_READ,"native_hex/batch2_core_papers.md","boundary aligned frame initialization; non-convex optimization"
native_hex_dom,sokolov2016_hex_dominant,"Hexahedral-Dominant Meshing","Sokolov; Ray; Untereiner; Levy",2016,"ACM Transactions on Graphics",10.1145/2930662,https://hal.science/hal-01397846,FULL_READ,"native_hex/batch2_core_papers.md","frame-guided tet pointset; CDT recombination; hex-dominant output"
native_hex_dom,hexex2016,"HexEx: Robust Hexahedral Mesh Extraction","Lyon; Bommes; Kobbelt",2016,"ACM Transactions on Graphics",10.1145/2897824.2925976,https://cgg.unibe.ch/media/papers/HexEx_lowres.pdf,FULL_READ,"native_hex/batch2_core_papers.md","IGM sanitization; transition extraction; invalid-tet handling"
native_hex_dom,hexhex2025,"HexHex: High-speed Extraction of Hexahedral Meshes","Kohler; Heistermann; Bommes",2025,"ACM Transactions on Graphics",10.1145/3730940,https://www.algohex.eu/publications/hexhex/,FULL_READ,"native_hex/batch2_core_papers.md","IGM extraction performance; injectivity prerequisite"
native_poly,kim2014_newton,"An Efficient Approach for Solving Mesh Optimization Problems Using Newton's Method","Kim",2014,"Computers & Mathematical Applications",10.1155/2014/273732,user-supplied PDF,FULL_READ,"native_poly/batch2_paper_notes.md","local optimization with constraints; quality-aware untangling"
native_poly,kim2014_untangling,"Untangling Polygonal and Polyhedral Meshes via Mesh Optimization","Kim; Chung",2014,"Computer Methods in Applied Mechanics and Engineering",10.1007/s00366-014-0379-5,user-supplied PDF,FULL_READ,"native_poly/batch2_paper_notes.md","local mesh untangling; constrained optimization"
native_poly,berge2019_voronoi_conformity,"Unstructured Voronoi Grids Conforming to Lower-Dimensional Objects","Berge; Klemetsdal; Lie",2019,"Computer Methods in Applied Mechanics and Engineering",10.1007/s10596-018-9790-0,https://link.springer.com/article/10.1007/s10596-018-9790-0,FULL_READ,"native_poly/batch2_evidence_matrix.md","lower-dimensional constrained Voronoi; hierarchy and conflict handling"
native_tet,wang2012_feature_sensitive_bcc,"Feature-Sensitive Tetrahedral Mesh Generation with Guaranteed Quality","Wang; Yu",2012,"Computer-Aided Design",10.1016/j.cad.2012.01.002,user-supplied PDF,FULL_READ,"native_tet/wang2012_feature_sensitive_bcc.md","adaptive octree; BCC lattice; lambda snapping; optimal stencil decomposition; sampled dihedral certification; surface not preserved"
native_tet,cheng2003_weighted_delaunay_refinement,"Quality Meshing with Weighted Delaunay Refinement","Cheng; Dey",2003,"SIAM Journal on Computing",10.1137/S0097539703418808,user-supplied PDF,FULL_READ,"native_tet/cheng2003_weighted_delaunay_refinement.md","weighted Delaunay refinement; Rule-4 encroachment simulation; interior weight pumping; forbidden-interval sliver classifier; non-acute input assumption"
native_tet,chen2017_shell_transformation,"Improved Boundary Constrained Tetrahedral Mesh Generation by Shell Transformation","Chen; Zheng; Zheng; Si; Hassan; Morgan",2017,"Applied Mathematical Modelling",10.1016/j.apm.2017.07.011,user-supplied PDF,FULL_READ,"native_tet/chen2017_shell_transformation.md","recursive shell transformation; DP optimal partial triangulation; lexicographic quality vector; Steiner suppression; BRC budget conditions"
native_tet,leng2013_geometric_flow,"A Novel Geometric Flow Approach for Quality Improvement of Multi-Component Tetrahedral Meshes","Leng; Zhang; Xu",2013,"Computer-Aided Design",10.1016/j.cad.2013.05.004,user-supplied PDF,FULL_READ,"native_tet/leng2013_geometric_flow.md","tangential-only regularization; penalized active-set smoothing; rising-threshold flip ladder; normal fairing excluded (moves boundary)"
native_tet,ni2017_sliver_shape_matching,"Sliver-Suppressing Tetrahedral Mesh Optimization with Gradient-Based Shape Matching Energy","Ni; Zhong; Liu; Wang; Chen; Guo",2017,"Computer Aided Geometric Design",10.1016/j.cagd.2017.02.004,user-supplied PDF,FULL_READ,"native_tet/ni2017_sliver_shape_matching.md","GSM inverse-height energy; steeper sliver barrier vs AMIPS; no inversion barrier; multi-face removal re-test; interior-only smoothing"
native_tet,dassi2018_moving_mesh_lazy_flips,"Tetrahedral Mesh Improvement Using Moving Mesh Smoothing, Lazy Searching Flips, and RBF Surface Reconstruction","Dassi; Kamenski; Farrell; Si",2018,"Computer-Aided Design",10.1016/j.cad.2017.11.010,user-supplied PDF,FULL_READ,"native_tet/dassi2018_moving_mesh_lazy_flips.md","MMPDE moving-mesh smoothing; lazy recursive edge removal with exact rollback; frozen-boundary mode; RBF pass dropped (smooths surface)"
native_tet,wang2024_parallel_tet_improvement,"Multi-threaded Parallel Tetrahedral Mesh Improvement by Combining Atomic Operation and Graph Coloring","Wang Yifu; Wang Junji; Wang BoHan; Wang Yifei; Chen Jianjun",2024,"Advances in Engineering Software",10.1016/j.advengsoft.2024.103782,user-supplied PDF,FULL_READ,"native_tet/wang2024_parallel_tet_improvement.md","vertex-token try-lock; cavity plus one-ring ambient conflict neighborhood; coordinate-sort partitioning; graph coloring bottleneck; non-deterministic"
native_poly,juretic2010_fv_error_cell_shape,"Error Analysis of the Finite-Volume Method with Respect to Mesh Type","Juretic; Gosman",2010,"Numerical Heat Transfer Part B",10.1080/10407791003685155,user-supplied PDF,FULL_READ,"native_poly/juretic2010_fv_error_cell_shape.md","face-pair cancellation; skewness convection error; non-orthogonality diffusion error; uniformity fx; poly near-hex accuracy; tet worst FV cell"
native_poly,katz2011_mesh_quality_cfd_accuracy,"Mesh Quality Effects on the Accuracy of CFD Solutions on Unstructured Meshes","Katz; Sankaran",2011,"Journal of Computational Physics",10.1016/j.jcp.2011.06.023,user-supplied PDF,FULL_READ,"native_poly/katz2011_mesh_quality_cfd_accuracy.md","MMS solution error; random perturbation robustness; face non-planarity first order; BL aspect-ratio tolerance; cell-centered vs node-centered"
native_poly,bassi2012_agglomeration_dg,"On the Flexibility of Agglomeration Based Physical Space Discontinuous Galerkin Discretizations","Bassi; Botti; Colombo; Di Pietro; Tesini",2012,"Journal of Computational Physics",10.1016/j.jcp.2011.08.018,user-supplied PDF,FULL_READ,"native_poly/bassi2012_agglomeration_dg.md","MGridGen agglomeration; aspect-ratio objective; per-facet quadrature; inertia-frame basis; agglomeration-factor bound; DG-vs-FV admissibility gap"
native_poly,pan2022_agglomeration_dg,"Agglomeration-Based Geometric Multigrid Solvers for Compact Discontinuous Galerkin Discretizations on Unstructured Meshes","Pan; Persson",2022,"Journal of Computational Physics",10.1016/j.jcp.2021.110775,user-supplied PDF,FULL_READ,"native_poly/pan2022_agglomeration_dg.md","greedy vertex-star agglomeration; connectedness-only validity; composite sub-element quadrature; orphan absorption; flux coarsening"
native_poly,r3mg2025_rtree_agglomeration,"R3MG: R-tree Based Agglomeration of Polytopal Grids with Applications to Multilevel Methods","Feder; Cangiani; Heltai",2025,"Journal of Computational Physics",10.1016/j.jcp.2025.113773,user-supplied PDF,FULL_READ,"native_poly/r3mg2025_rtree_agglomeration.md","R-star-tree AABB grouping; nested hierarchy by construction; box-ratio and overlap-factor metrics; deterministic low-cost grouping; hierarchy builder not generator"
native_poly,antonietti2022_ml_refinement,"Machine Learning Based Refinement Strategies for Polyhedral Grids with Applications to Virtual Element and Polyhedral Discontinuous Galerkin Methods","Antonietti; Dassi; Manuzzi",2022,"Journal of Computational Physics",10.1016/j.jcp.2022.111531,user-supplied PDF,FULL_READ,"native_poly/antonietti2022_ml_agglomeration.md","cutting-plane refinement; k-means 2-seed split; vertex snapping; validity gate; uniformity factor; ball ratio; ML-advisory template"
native_poly,magnet2025_gnn_agglomeration,"MAGNET: An Open-Source Library for Mesh Agglomeration by Graph Neural Networks","Antonietti; Caldana; Mazzieri; Re Fraschini",2025,"Engineering with Computers",10.1007/s00366-025-02223-y,https://link.springer.com/article/10.1007/s00366-025-02223-y,FULL_READ,"native_poly/magnet2025_gnn_agglomeration.md","dual-graph normalized-cut partitioning; GNN vs METIS vs k-means; circle ratio; sphericity; volume difference; connectivity post-split guard"
native_poly,pvem2025_polytopal_vem,"Particle Virtual Element Method (PVEM): An Agglomeration Technique for Mesh Optimization in Explicit Lagrangian Free-Surface Fluid Modelling","Fu; Cremonesi; Perego; Hudobivnik; Wriggers",2025,"Computer Methods in Applied Mechanics and Engineering",10.1016/j.cma.2024.117461,https://doi.org/10.1016/j.cma.2024.117461,FULL_READ,"native_poly/pvem2025_polytopal_vem.md","merge-with-best-neighbor sliver repair; characteristic length 6V/A; time-step gate; triangular-face invariant; transient agglomerates"
native_poly,du1999_cvt_review,"Centroidal Voronoi Tessellations: Applications and Algorithms","Du; Faber; Gunzburger",1999,"SIAM Review",10.1137/s0036144599352836,user-supplied PDF,FULL_READ,"native_poly/du1999_cvt_review.md","CVT energy; Lloyd iteration; frozen-boundary restriction analysis; saddle-point caveat; density-graded sizing; centroidal covolume accuracy"
native_tri,cheng2019_error_bounded_refinement,"Practical Error-Bounded Remeshing by Adaptive Refinement","Cheng; Fu; Zhang; Chai",2019,"Computers & Graphics","10.1016/j.cag.2019.05.019","user-supplied PDF",FULL_READ,"native_tri/cheng2019_error_bounded_refinement.md","adaptive refinement to error bound; violation-driven target-length shrinking; progressive sampled audit; refine-first pre-pass for angle improvement"
native_tri,frey2005_anisotropic_cfd,"Anisotropic Mesh Adaptation for CFD Computations","Frey; Alauzet",2005,"Computer Methods in Applied Mechanics and Engineering","10.1016/j.cma.2004.11.025","user-supplied PDF",FULL_READ,"native_tri/frey2005_anisotropic_cfd_adaptation.md","unit-mesh contract; eigenvalue truncation; simultaneous-reduction metric intersection; metric interpolation; curvature source metric"
native_tri,liu2024_sharp_feature,"Surface Remeshing with Preservation of Sharp Features through Iterative Identification and Optimization of Sample Points","Liu; Yao; Fei; Zhang; Zheng",2024,"Computers & Graphics","10.1016/j.cag.2024.103949","user-supplied PDF",FULL_READ,"native_tri/liu2024_sharp_feature_remeshing.md","dynamic feature-sample election; gap filling; ostracism clearance; 1-D CVT on feature chains; 45-deg dihedral pre-detection"
